interests_from,Argentina,Australia,Brazil,Chile,France,Great Britain,Indonesia,Japan,Malaysia,Mexico,Russia,Singapore,South Korea,Spain,Turkey,United States
Argentina,1,-0.114336106826869,0.176917368730129,0.393918605950563,-0.061345090242632,-0.16915308906733,-0.199207720987082,-0.224371502271452,-0.2899737167811,0.27235145624719,-0.080554430370008,-0.20966715156495,-0.201422842637889,0.163591513497522,-0.098683495046677,-0.125806142574196
Australia,-0.114336106826869,1,-0.18316629866617,-0.216939458669447,-0.181528839048234,0.327278658063354,-0.421241633495094,-0.369408330848687,0.180008640022212,-0.192585540977258,-0.487930181090261,0.23749888710127,-0.24214879448591,-0.213543937675558,-0.277765373482016,0.45026895934359
Brazil,0.176917368730129,-0.18316629866617,1,0.121965552240801,-0.009614683353504,-0.091449693699836,0.012284416057253,0.040389544753104,-0.278932779205665,-0.023834732870328,0.102400442764746,-0.25989157660675,-0.087315961519034,0.07230840577756,-0.031722501641791,-0.19253816937651
Chile,0.393918605950563,-0.216939458669447,0.121965552240801,1,-0.036574753328423,-0.142708392163822,-0.129303956962346,-0.085777298992005,-0.327508183512825,0.347842231347875,-0.015012711343987,-0.255362540416066,-0.205034560698848,0.194458740910477,-0.078146149840789,-0.142413461112489
France,-0.061345090242632,-0.181528839048234,-0.009614683353504,-0.036574753328423,1,-0.01645512001926,0.029158376645368,0.097488101695551,-0.291439587940318,-0.100300082360527,0.244664725418978,-0.254724731984609,-0.120866189586132,0.232377125336463,0.136340940208606,-0.142481414786758
Great Britain,-0.16915308906733,0.327278658063354,-0.091449693699836,-0.142708392163822,-0.01645512001926,1,-0.233837914898073,-0.197735568801768,-0.068666606426555,-0.205506585104811,-0.160121956542362,0.000584562885933,-0.152622304689969,-0.037024526798845,-0.167326356615356,0.238016469648216
Indonesia,-0.199207720987082,-0.421241633495094,0.012284416057253,-0.129303956962346,0.029158376645368,-0.233837914898073,1,0.364092613648405,-0.028780021643207,-0.159263079657082,0.538889066755437,-0.234401092266564,0.160825199330111,-0.051447082397512,0.204892017592215,-0.314427868066598
Japan,-0.224371502271452,-0.369408330848687,0.040389544753104,-0.085777298992005,0.097488101695551,-0.197735568801768,0.364092613648405,1,-0.268228985756654,-0.173329674620575,0.475691990799148,-0.126196993771424,0.215365669391671,-0.00682002105156,0.205869569177163,-0.299365263821634
Malaysia,-0.2899737167811,0.180008640022212,-0.278932779205665,-0.327508183512825,-0.291439587940318,-0.068666606426555,-0.028780021643207,-0.268228985756654,1,-0.206966521924796,-0.440619416984399,0.510221628675814,0.018684948533434,-0.348760866474705,-0.217554774117518,0.03649499780494
Mexico,0.27235145624719,-0.192585540977258,-0.023834732870328,0.347842231347875,-0.100300082360527,-0.205506585104811,-0.159263079657082,-0.173329674620575,-0.206966521924796,1,-0.119250750643755,-0.209020557174549,-0.108929513357505,0.060798588391176,-0.120282199185003,-0.011817769871895
Russia,-0.080554430370008,-0.487930181090261,0.102400442764746,-0.015012711343987,0.244664725418978,-0.160121956542362,0.538889066755437,0.475691990799148,-0.440619416984399,-0.119250750643755,1,-0.402379333028382,0.113564673783734,0.12262541574899,0.37231639676097,-0.334292883180816
Singapore,-0.20966715156495,0.23749888710127,-0.25989157660675,-0.255362540416066,-0.254724731984609,0.000584562885933,-0.234401092266564,-0.126196993771424,0.510221628675814,-0.209020557174549,-0.402379333028382,1,-0.030575451755666,-0.307915601870528,-0.290048005749473,0.059687099992831
South Korea,-0.201422842637889,-0.24214879448591,-0.087315961519034,-0.205034560698848,-0.120866189586132,-0.152622304689969,0.160825199330111,0.215365669391671,0.018684948533434,-0.108929513357505,0.113564673783734,-0.030575451755666,1,-0.157734351993619,-0.025304888136581,-0.179523002524927
Spain,0.163591513497522,-0.213543937675558,0.07230840577756,0.194458740910477,0.232377125336463,-0.037024526798845,-0.051447082397512,-0.00682002105156,-0.348760866474705,0.060798588391176,0.12262541574899,-0.307915601870528,-0.157734351993619,1,0.063654137743915,-0.224244081885068
Turkey,-0.098683495046677,-0.277765373482016,-0.031722501641791,-0.078146149840789,0.136340940208606,-0.167326356615356,0.204892017592215,0.205869569177163,-0.217554774117518,-0.120282199185003,0.37231639676097,-0.290048005749473,-0.025304888136581,0.063654137743915,1,-0.289836016324139
United States,-0.125806142574196,0.45026895934359,-0.19253816937651,-0.142413461112489,-0.142481414786758,0.238016469648216,-0.314427868066598,-0.299365263821634,0.03649499780494,-0.011817769871895,-0.334292883180816,0.059687099992831,-0.179523002524927,-0.224244081885068,-0.289836016324139,1
